epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.844,0.97893,3.2488,0.90619,0.36313,0.45756,0.41142,0.3281,0.74992,1.54152,0.83637,0.000195322,0.000195322,0.000195322
2,688.958,0.71546,1.37794,0.84013,0.59639,0.71111,0.69049,0.56495,0.68967,0.96049,0.82763,0.000365495,0.000365495,0.000365495
3,1033.9,0.62743,0.98605,0.82551,0.77671,0.82032,0.84859,0.71173,0.63323,0.74953,0.81752,0.000509795,0.000509795,0.000509795
4,1379.91,0.56873,0.82752,0.81869,0.86323,0.88862,0.91566,0.75676,0.65849,0.65356,0.82182,0.000471576,0.000471576,0.000471576
5,1729.77,0.54034,0.71968,0.81395,0.94999,0.93964,0.97438,0.81871,0.65063,0.5728,0.81974,0.000432768,0.000432768,0.000432768
6,2077.2,0.44758,0.56219,0.79851,0.97113,0.94975,0.98687,0.81631,0.70749,0.54388,0.82937,0.00039396,0.00039396,0.00039396
7,2425.51,0.42684,0.5077,0.79447,0.96328,0.96519,0.98868,0.84359,0.60498,0.49371,0.81492,0.000355152,0.000355152,0.000355152
8,2785.62,0.41091,0.4746,0.79175,0.98024,0.97421,0.99211,0.82224,0.7073,0.497,0.82846,0.000316344,0.000316344,0.000316344
9,3170.48,0.39729,0.44951,0.78938,0.98327,0.97542,0.99245,0.84906,0.61766,0.45836,0.8138,0.000277536,0.000277536,0.000277536
10,3643.52,0.38278,0.42716,0.78824,0.98767,0.97658,0.99337,0.83429,0.66021,0.45419,0.81994,0.000238728,0.000238728,0.000238728
11,4120.55,0.38104,0.42004,0.78688,0.98384,0.98159,0.9938,0.83925,0.64921,0.44374,0.81856,0.00019992,0.00019992,0.00019992
12,4595.45,0.38016,0.4109,0.78679,0.9886,0.98432,0.99387,0.84453,0.64017,0.43763,0.81762,0.000161112,0.000161112,0.000161112
13,5069.62,0.36369,0.39355,0.78509,0.98966,0.98241,0.99382,0.84363,0.64038,0.42744,0.8176,0.000122304,0.000122304,0.000122304
14,5544.93,0.3601,0.38599,0.78421,0.99299,0.98043,0.99397,0.84333,0.6441,0.42287,0.81726,8.3496e-05,8.3496e-05,8.3496e-05
