epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.958,0.99728,3.43831,0.90781,0.4073,0.37608,0.35426,0.27632,0.81152,1.81195,0.84275,0.000194917,0.000194917,0.000194917
2,719.872,0.73768,1.47625,0.84162,0.57727,0.69155,0.67041,0.54618,0.7243,0.95196,0.83145,0.000387047,0.000387047,0.000387047
3,1075.56,0.64416,0.99835,0.8269,0.7521,0.82813,0.84396,0.64808,0.88281,0.78307,0.8484,0.000575296,0.000575296,0.000575296
4,1428.82,0.59151,0.8468,0.81868,0.86938,0.89176,0.93279,0.78705,0.63984,0.65355,0.82085,0.000570536,0.000570536,0.000570536
5,1778.75,0.54528,0.73783,0.81322,0.93894,0.93018,0.96941,0.81893,0.63007,0.58595,0.81738,0.000564715,0.000564715,0.000564715
6,2129.45,0.53138,0.65551,0.81261,0.95748,0.96126,0.98412,0.81471,0.68723,0.54515,0.82747,0.000558894,0.000558894,0.000558894
7,2481.94,0.50944,0.59991,0.81151,0.97244,0.968,0.98802,0.82271,0.65611,0.51953,0.82117,0.000553073,0.000553073,0.000553073
8,2834.19,0.48727,0.56346,0.80637,0.97963,0.96374,0.99059,0.83433,0.65851,0.48716,0.82175,0.000547252,0.000547252,0.000547252
9,3185.25,0.49466,0.56049,0.80688,0.96894,0.95306,0.9875,0.86436,0.53133,0.48824,0.80539,0.00054143,0.00054143,0.00054143
10,3533.62,0.48941,0.52336,0.80633,0.98049,0.97688,0.99203,0.85608,0.58189,0.45635,0.81198,0.000535609,0.000535609,0.000535609
11,3900.03,0.46276,0.48939,0.8041,0.98429,0.97751,0.99303,0.83234,0.67627,0.4515,0.82401,0.000529788,0.000529788,0.000529788
12,4269.41,0.4588,0.47683,0.80395,0.9861,0.98003,0.99344,0.86211,0.57833,0.43009,0.81165,0.000523967,0.000523967,0.000523967
13,4650.12,0.44725,0.46284,0.80339,0.98526,0.98276,0.99305,0.84376,0.63467,0.42686,0.82021,0.000518146,0.000518146,0.000518146
14,5031.05,0.44363,0.44627,0.80065,0.98852,0.98471,0.99361,0.86787,0.55108,0.4016,0.80635,0.000512324,0.000512324,0.000512324
15,5415.88,0.45184,0.44309,0.79964,0.99063,0.97896,0.99385,0.85707,0.6077,0.40443,0.81454,0.000506503,0.000506503,0.000506503
16,5795.39,0.43274,0.42689,0.79889,0.9892,0.98797,0.99443,0.84295,0.64901,0.41734,0.81822,0.000500682,0.000500682,0.000500682
17,6173.93,0.44122,0.43204,0.79864,0.98447,0.98825,0.99414,0.85348,0.61012,0.39684,0.8153,0.000494861,0.000494861,0.000494861
18,6553.37,0.43309,0.41681,0.79879,0.99012,0.98723,0.9944,0.85726,0.61558,0.38885,0.81426,0.00048904,0.00048904,0.00048904
19,7887.67,0.42779,0.40125,0.79638,0.99408,0.98672,0.9947,0.83462,0.6897,0.3991,0.82384,0.000483218,0.000483218,0.000483218
20,10343,0.42387,0.39843,0.79732,0.98823,0.99002,0.9946,0.86049,0.6041,0.3775,0.81414,0.000477397,0.000477397,0.000477397
21,10860.6,0.40909,0.38789,0.79561,0.99455,0.98835,0.99481,0.84688,0.64939,0.37687,0.82122,0.000471576,0.000471576,0.000471576
22,11396.4,0.40778,0.37912,0.79595,0.99341,0.98731,0.99436,0.86303,0.5826,0.36517,0.81106,0.000465755,0.000465755,0.000465755
23,11949.9,0.41682,0.38044,0.7971,0.99322,0.98855,0.99472,0.84525,0.63604,0.37031,0.81957,0.000459934,0.000459934,0.000459934
24,12498,0.40447,0.37186,0.79509,0.99269,0.9901,0.99479,0.83883,0.68056,0.37617,0.82712,0.000454112,0.000454112,0.000454112
